name,lat,lng,priority,type
"Saitama",35.895534,139.67747,3,2
"Sakai",34.583333,135.466667,3,2
"Mombasa",-4.05,39.6666667,3,2
"Almaty",43.25,76.95,3,2
"Benghazi",32.1166667,20.0666667,3,2
"Agadir",30.420664,-9.593161,3,2
"Fez",34.037151,-4.999797,3,2
"Marrakesh",31.631485,-8.008281,3,2
"Tangier",35.780576,-5.813646,3,2
"Chisinau",47.005556,28.8575,3,2
"Bamako",12.65,-8.0,3,2
"Mandalay",22.0,96.0833333,7,2
"Ulaanbaatar",47.9166667,106.9166667,3,2
"Blantyre",-15.7833333,35.0,3,2
"Acapulco",16.85,-99.916667,3,2
"Aguascalientes",21.883333,-102.3,2,2
"Cancun",21.166667,-86.833333,3,2
"Chihuahua",28.633333,-106.083333,3,2
"Chimalhuacan",19.416667,-98.9,6,2
"Culiacan",24.799444,-107.389722,3,2
"Ecatepec",19.601111,-99.0525,3,2
"Guadalajara",20.666667,-103.333333,2,2
"Guadalupe",25.683333,-100.25,4,2
"Hermosillo",29.066667,-110.966667,3,2
"Juarez",31.733333,-106.483333,3,2
"Leon",21.116667,-101.666667,3,2
"Lopez Mateos",19.558333,-99.261389,6,2
"Merida",20.966667,-89.616667,3,2
"Mexicali",32.651944,-115.468333,3,2
"Monterrey",25.666667,-100.316667,6,2
"Morelia",19.7,-101.116667,3,2
"Naucalpan",19.479444,-99.238333,7,2
"Nezahualcoyotl",19.413611,-99.033056,7,2
"Puebla",19.05,-98.2,3,2
"Queretaro",20.6,-100.383333,3,2
"Saltillo",25.416667,-101,3,2
"San Luis Potosi",22.15,-100.983333,3,2
"San Nicolas De Los Garza",25.75,-100.3,7,2
"Tijuana",32.533333,-117.016667,3,2
"Tlalnepantla",19.526944,-99.221667,7,2
"Toluca",19.288333,-99.667222,3,2
"Torreon",25.55,-103.433333,3,2
"Veracruz",19.2,-96.133333,3,2
"Zapopan",20.716667,-103.4,5,2
"Ipoh",4.5841,101.0829,3,2
"Johor Bahru",1.4655,103.7578,5,2
"Klang",3.033333,101.45,3,2
"Kuching",1.55,110.333333,3,2
"Petaling Jaya",3.083333,101.65,5,2
"Beira",-19.8436111,34.8388889,3,2
"Matola",-25.9622222,32.4588889,3,2
"Aba",5.106576,7.366667,3,2
"Abeokuta",7.15,3.35,3,2
"Benin",6.335045,5.627492,3,2
"Enugu",6.4402,7.4943,3,2
"Ilorin",8.5,4.55,3,2
"Jos",9.916667,8.9,3,2
"Kaduna",10.522239,7.43828,3,2
"Maiduguri",11.846441,13.160274,3,2
"Ogbomosho",8.133333,4.266667,3,2
"Onitsha",6.14543,6.788452,3,2
"Oyo",7.85,3.933333,3,2
"Port Harcourt",4.777423,7.013404,3,2
"Sokoto",13.048025,5.214285,3,2
"Warri",5.516667,5.75,3,2
"Zaria",11.113236,7.725176,3,2
"Rotterdam",51.916667,4.5,3,2
"Oslo",59.916667,10.75,3,2
"Arequipa",-16.3988889,-71.535,3,2
"Chiclayo",-6.7736111,-79.8416667,3,2
"Trujillo",-8.1166667,-79.0333333,3,2
"Antipolo",14.5886,121.1757,3,2
"Cebu",10.311111,123.891667,3,2
"Davao",7.073056,125.612778,3,2
"Makati",14.566667,121.033333,3,2
"Bahawalpur",29.4,71.683333,3,2
"Gujranwala",32.161667,74.188309,3,2
"Hyderabad",25.39242,68.373656,3,2
"Multan",30.195556,71.475278,3,2
"Peshawar",34.008,71.578488,3,2
"Quetta",30.199004,67.009708,3,2
"Rawalpindi",33.6007,73.0679,5,2
"Sargodha",32.083611,72.671111,3,2
"Cracow",50.083333,19.916667,3,2
"Poznan",52.416667,16.966667,3,2
"Wroclaw",51.1,17.033333,3,2
"Astrakhan",46.349683,48.040756,3,2
"Barnaul",53.360556,83.763611,3,2
"Chelyabinsk",55.154444,61.429722,3,2
"Irkutsk",52.297778,104.296389,3,2
"Izhevsk",56.849756,53.204479,3,2
"Kazan",55.78874,49.122144,3,2
"Khabarovsk",48.480833,135.092778,3,2
"Krasnodar",45.0488,38.9725,3,2
"Krasnoyarsk",56.0091,92.8628,3,2
"Lipetsk",52.603111,39.570762,3,2
"Nizhniy Novgorod",56.326944,44.0075,3,2
"Novokuznetsk",53.7557,87.1099,3,2
"Novosibirsk",55.0415,82.9346,3,2
"Omsk",55,73.4,3,2
"Penza",53.200656,45.004643,3,2
"Perm",58.009282,56.284063,3,2
"Rostov-na-donu",47.23135,39.723284,3,2
"Ryazan",54.6269,39.6916,3,2
"Samara",53.1835,50.1182,3,2
"Saratov",51.540556,46.008611,3,2
"Tolyatti",53.5303,49.3461,3,2
"Tyumen",57.152222,65.527222,3,2
"Ufa",54.785167,56.045621,3,2
"Ulyanovsk",54.328241,48.38657,3,2
"Vladivostok",43.128056,131.901111,3,2
"Volgograd",48.71939,44.501835,3,2
"Voronezh",51.672035,39.184301,3,2
"Yaroslavl",57.61977,39.85536,3,2
"Yekaterinburg",56.8519,60.6122,3,2
"Mecca",21.426667,39.826111,3,2
"Khartoum",15.5880556,32.5341667,3,2
"Goteborg",57.716667,11.966667,3,2
"Stockholm",59.333333,18.05,3,2
"Adana",37.001667,35.328889,3,2
"Antalya",36.908118,30.695565,3,2
"Bursa",40.191667,29.061111,3,2
"Eskisehir",39.776667,30.520556,3,2
"Gaziantep",37.059444,37.3825,3,2
"Kayseri",38.732222,35.485278,3,2
"Konya",37.871354,32.484636,3,2
"Mersin",36.732778,34.644167,3,2
"Kaohsiung",22.6177778,120.3013889,5,2
"Kaohsiung",22.6333333,120.35,3,2
"Taichung",24.1433333,120.6813889,3,2
"Tainan",22.9933333,120.2036111,3,2
"Kryvyy Rih",47.909659,33.380438,3,2
"Lvov",49.840661,24.030451,3,2
"Odesa",46.463934,30.738551,3,2
"Zaporizhzhya",47.822892,35.190314,3,2
"Phoenix",33.4483333,-112.0733333,1,2
"Tucson",32.2216667,-110.9258333,1,2
"San Diego",32.7152778,-117.1563889,2,2
"San Francisco",37.7750000,-122.4183333,1,2
"San Jose",37.3394444,-121.8938889,2,2
"Denver",39.7391667,-104.9841667,1,2
"Jacksonville",30.3319444,-81.6558333,1,2
"Indianapolis",39.7683333,-86.1580556,1,2
"Baltimore",39.2902778,-76.6125000,2,2
"Boston",42.3583333,-71.0602778,1,2
"Detroit",42.3313889,-83.0458333,1,2
"Las Vegas",36.1750000,-115.1363889,1,2
"Charlotte",35.2269444,-80.8433333,1,2
"Columbus",39.9611111,-82.9988889,2,2
"Oklahoma City",35.4675000,-97.5161111,1,2
"Portland",45.5236111,-122.6750000,1,2
"Philadelphia",39.9522222,-75.1641667,1,2
"Memphis",35.1494444,-90.0488889,1,2
"Nashville",36.1658333,-86.7844444,1,2
"Austin",30.2669444,-97.7427778,1,2
"Dallas",32.7833333,-96.8000000,1,2
