id,origin,destination,count,origLat,origLon,destLat,destLon
152,Jordan,Hungary,0,31.95181,35.94042,47.49973,19.05508
155,Egypt,Hungary,0,30.04992,31.2486,47.49973,19.05508
158,Albania,Hungary,0,41.32233,19.82516,47.49973,19.05508
159,Montenegro,Hungary,0,42.43544,19.26391,47.49973,19.05508
160,Bosnia and Herzegovina,Hungary,0,43.85943,18.43577,47.49973,19.05508
161,Croatia,Hungary,0,45.80724,15.96758,47.49973,19.05508
162,Slovenia,Hungary,0,46.05063,14.50283,47.49973,19.05508
163,Slovakia,Hungary,0,48.14926,17.10699,47.49973,19.05508
165,Romania,Hungary,0,44.4343,26.10298,47.49973,19.05508
166,Czech Republic,Hungary,0,50.07913,14.43303,47.49973,19.05508
169,France,Hungary,0,48.85693,2.3412,47.49973,19.05508
170,Finland,Hungary,0,60.17116,24.93266,47.49973,19.05508
171,Sweden,Hungary,0,59.33233,18.06293,47.49973,19.05508
172,Denmark,Hungary,0,55.67567,12.56756,47.49973,19.05508
173,Norway,Hungary,0,59.9123,10.75,47.49973,19.05508
174,Spain,Hungary,0,40.42028,-3.70578,47.49973,19.05508
175,Poland,Hungary,0,52.23558,21.01027,47.49973,19.05508
176,Lithuania,Hungary,0,54.69063,25.26981,47.49973,19.05508
177,Latvia,Hungary,0,56.94599,24.11487,47.49973,19.05508
178,Estonia,Hungary,0,59.43641,24.75254,47.49973,19.05508
179,Russia,Hungary,0,55.75697,37.61502,47.49973,19.05508
180,Ukraine,Hungary,0,50.45057,30.52428,47.49973,19.05508
181,Syria,Albania,0,33.4993,36.30132,41.32233,19.82516
182,Jordan,Albania,0,31.95181,35.94042,41.32233,19.82516
183,Lebanon,Albania,0,33.89607,35.50678,41.32233,19.82516
184,Turkey,Albania,0,39.92109,32.85399,41.32233,19.82516
185,Egypt,Albania,0,30.04992,31.2486,41.32233,19.82516
187,Hungary,Albania,0,47.49973,19.05508,41.32233,19.82516
